epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2439.2,0.49448,0.4451,0.09429,0.85993,0.77445,0.83964,0.55627,0.84714,0.69568,0.1133,0.000274192,0.000274192,0.000274192
73,2473.09,0.48941,0.44185,0.09387,0.83402,0.78701,0.83624,0.55316,0.84052,0.68851,0.11263,0.000263159,0.000263159,0.000263159
74,2506.92,0.4839,0.4346,0.09355,0.84023,0.7903,0.84419,0.55678,0.8455,0.67578,0.11297,0.00025241,0.00025241,0.00025241
75,2540.86,0.49451,0.44488,0.09435,0.81912,0.80721,0.84323,0.55555,0.85302,0.6922,0.11351,0.000241954,0.000241954,0.000241954
76,2574.89,0.48899,0.44108,0.09389,0.86735,0.7822,0.84483,0.56139,0.83673,0.68401,0.11268,0.000231802,0.000231802,0.000231802
77,2609.2,0.48329,0.4368,0.09361,0.85946,0.77736,0.8437,0.5637,0.83531,0.68887,0.1128,0.000221964,0.000221964,0.000221964
78,2643.11,0.47918,0.42994,0.09331,0.81691,0.79347,0.83681,0.55768,0.8329,0.70131,0.11239,0.00021245,0.00021245,0.00021245
79,2677.04,0.47389,0.42991,0.09334,0.8188,0.79596,0.8459,0.55935,0.83922,0.68704,0.11315,0.000203269,0.000203269,0.000203269
80,2711,0.47539,0.42867,0.09349,0.85923,0.78692,0.84582,0.56144,0.83535,0.69366,0.11229,0.00019443,0.00019443,0.00019443
81,2744.99,0.47605,0.42902,0.09308,0.83673,0.80675,0.84229,0.56116,0.82858,0.68769,0.11205,0.000185942,0.000185942,0.000185942
82,2779.32,0.46745,0.42195,0.09302,0.8386,0.79046,0.83468,0.55733,0.83405,0.69748,0.11248,0.000177814,0.000177814,0.000177814
83,2813.29,0.47384,0.42597,0.09329,0.84642,0.78598,0.8417,0.56057,0.83346,0.70262,0.11237,0.000170052,0.000170052,0.000170052
84,2847.44,0.46594,0.41987,0.09287,0.80132,0.80126,0.83822,0.56126,0.82937,0.70044,0.11179,0.000162666,0.000162666,0.000162666
85,2881.47,0.46025,0.41736,0.09247,0.81691,0.80449,0.84394,0.5659,0.83137,0.68742,0.11192,0.000155662,0.000155662,0.000155662
86,2915.59,0.46465,0.41588,0.09252,0.8455,0.79684,0.84777,0.56874,0.83519,0.68492,0.11216,0.000149047,0.000149047,0.000149047
87,2949.52,0.45684,0.41115,0.09242,0.8342,0.79786,0.84578,0.5618,0.83722,0.69336,0.11245,0.000142828,0.000142828,0.000142828
88,2983.52,0.45912,0.41456,0.09249,0.85897,0.78108,0.84873,0.56831,0.83388,0.67632,0.11266,0.00013701,0.00013701,0.00013701
89,3017.49,0.46533,0.41877,0.09305,0.87333,0.79002,0.84534,0.56784,0.83057,0.68524,0.11275,0.000131601,0.000131601,0.000131601
90,3051.51,0.46102,0.41566,0.09262,0.88076,0.7811,0.85145,0.56266,0.84292,0.68742,0.11357,0.000126604,0.000126604,0.000126604
91,3085.43,0.46041,0.41272,0.09263,0.87031,0.78186,0.85138,0.56726,0.83571,0.68728,0.11296,0.000122025,0.000122025,0.000122025
92,3119.49,0.45746,0.41514,0.09245,0.88225,0.78146,0.8462,0.56827,0.83415,0.6802,0.11302,0.000117868,0.000117868,0.000117868
93,3153.34,0.45075,0.40988,0.09208,0.84302,0.79986,0.8461,0.56616,0.8343,0.68024,0.11287,0.000114138,0.000114138,0.000114138
94,3186.94,0.45515,0.41248,0.09258,0.87721,0.7797,0.84523,0.56294,0.83722,0.67716,0.11303,0.000110837,0.000110837,0.000110837
95,3221.06,0.45387,0.41306,0.09222,0.84575,0.80465,0.84655,0.56095,0.84237,0.68763,0.11319,0.000107971,0.000107971,0.000107971
96,3255.11,0.44336,0.40235,0.09201,0.86632,0.79085,0.84641,0.56524,0.83792,0.68219,0.11335,0.00010554,0.00010554,0.00010554
97,3288.95,0.45539,0.40993,0.09239,0.85149,0.79606,0.8438,0.56188,0.83624,0.68403,0.11292,0.000103548,0.000103548,0.000103548
98,3322.89,0.44552,0.40378,0.09196,0.83953,0.80632,0.8497,0.5622,0.83813,0.68737,0.11335,0.000101997,0.000101997,0.000101997
99,3356.92,0.44934,0.4021,0.09193,0.85916,0.7958,0.84338,0.56237,0.83325,0.68553,0.11303,0.000100888,0.000100888,0.000100888
100,3391.14,0.44634,0.40174,0.09181,0.85658,0.79599,0.83914,0.56223,0.83114,0.68585,0.11283,0.000100222,0.000100222,0.000100222
